States Affected,Total No. of Cases,No. of Cases receiving treatment,Total No. Discharged,No. of Deaths,,,,,,,
Lagos,14177,11898,2087,192,,,,,,,
FCT,3437,2390,1006,41,,,,,,,
Oyo,2497,1325,1148,24,,,,,,,
Edo,2128,696,1360,72,,,,,,,
Rivers,1600,469,1081,50,,,,,,,
Delta,1456,782,634,40,,,,,,,
Kano,1452,209,1190,53,,,,,,,
Kaduna,1299,293,994,12,,,,,,,
Ogun,1241,245,973,23,,,,,,,
Ondo,1030,760,248,22,,,,,,,
Plateau,780,331,430,19,,,,,,,
Ebonyi,748,148,577,23,,,,,,,
Enugu,726,284,425,17,,,,,,,
Katsina,723,259,441,23,,,,,,,
Kwara,707,489,202,16,,,,,,,
Borno,609,52,522,35,,,,,,,
Gombe,558,14,521,23,,,,,,,
Bauchi,535,14,508,13,,,,,,,
Abia,527,132,391,4,,,,,,,
Imo,465,348,108,9,,,,,,,
Osun,420,215,195,10,,,,,,,
Bayelsa,326,79,226,21,,,,,,,
Jigawa,322,3,308,11,,,,,,,
Benue,294,235,53,6,,,,,,,
Nasarawa,292,171,113,8,,,,,,,
Akwa Ibom,208,80,121,7,,,,,,,
Niger,167,25,133,9,,,,,,,
Sokoto,153,0,137,16,,,,,,,
Anambra,132,45,75,12,,,,,,,
Adamawa,115,21,85,9,,,,,,,
Ekiti,91,42,47,2,,,,,,,
Kebbi,90,4,79,7,,,,,,,
Zamfara,77,1,71,5,,,,,,,
Yobe,64,3,53,8,,,,,,,
Taraba,54,43,11,0,,,,,,,
Cross River,34,30,3,1,,,,,,,
Kogi,5,0,3,2,,,,,,,
